237	Flowers
255	Underwall tunnel
420	Underwall tunnel
452	Fountain
522	Pillar
569	Rope Ladder
570	Door
571	Wall
574	Door
575	Door
576	Door
584	Shimmering field
593	Doors
594	Large door
596	Floor
598	Odd looking wall
605	Door
607	Carved doors
608	Door
609	Gate
611	Carved doors
612	Wall
613	Wall
614	Wall
615	Wall
616	Large door
627	Hillside entrance
633	Large door
634	Door
635	Door
636	Wall
637	Wall
638	Wall
639	Large door
642	Spear wall
644	Doorway
653	Doorway
656	Crumbling wall
659	Standing spears
660	Standing spears
662	Crumbling wall
669	Battlements
670	Battlements
671	Battlements
672	Battlements
673	Battlements
674	Doorway
675	Doorway
678	Wall
679	Wall
681	Door
685	Boulder
686	Platform
691	Sparkling pool
692	Cave
693	Icicle
694	Stalagmite
695	Well
697	Bridge
699	Bridge
700	Bridge
707	Icicle
708	Tomb
709	Icicle
710	Smashed cage
715	Platform
717	Iban's Throne
721	Platform
722	Trap
723	Counter
724	Overhanging rock
725	Eerie statue
727	Column
728	Column
729	Column
731	Cave Entrance
732	Hollowed rock
733	Cave entrance
734	Ice Column
735	Bridge
742	Platform
748	Furnace
749	Stalactite
750	Door
751	Bridge
752	Bridge
753	Stalactite
755	Guide rope
756	Bridge
757	Platform
758	Portcullis
759	Stone tablet
762	Bridge
763	Door
764	Stalactite
765	Temple door
774	Pipe
775	Rocks
776	Cave web
779	Rock
780	Rock
781	Rockslide
782	Cave wall
783	Cave wall
784	Cave wall
788	Recess
789	Cave exit
790	Cave exit
800	Sliced web
801	Filled Recess
805	Waterfall rocks
813	Pipe
818	Rock slide
819	Rock pile
820	Rockslide
821	Rockslide
830	Fissure
831	Fissure
832	Cave entrance
833	Cave
840	Bricks
841	Bricks
843	Crumbled wall
844	Timber
849	Timber
850	Jagged wall
851	Jagged wall
852	Jagged wall
853	Jagged wall
863	Rune Essence
865	Pillar
866	Rubble
867	Rubble
868	Rubble
869	Pillar
870	Pillar
871	Ruined Pillar
872	Ruined Pillar
873	Pillar
874	Ruined Pillar
875	Pillar
879	Curtain
880	Curtain
881	Basket
882	Basket
883	Basket
884	Curtain
885	Curtain
891	Staircase
892	Basket
902	Small table
903	Chair
904	Large urn
905	Font
911	Coffin
912	Coffin
913	Statue
914	Statue
915	Statue
916	Statue
917	Table
918	Vase
919	Statue
927	Glyphs
929	Eye decoration
931	Throne
934	Throne
936	Potted plant
937	Chaise lounge
944	Table
966	Gate
967	Gate
968	Gate
969	Railing
970	Railing
971	Leftovers
982	Stile
1003	Wall
1004	Wall
1005	Wall
1006	Wall
1007	Wall
1017	Broken Railing
1023	Broken Railing
1024	Log balance
1032	Soil
1045	Buried skeleton
1046	Stepping stone
1048	Bloodsplatter
1055	Bowl
1065	Scorched earth
1068	Bridge
1070	Bloodsplatter
1072	Balancing ledge
1076	Fertile Soil
1078	Corpse
1079	Corpse
1080	Corpse
1081	Corpse
1089	Bridge
1097	Bloodsplatter
1101	Buried skeleton
1102	Buried skeleton
1115	Log balance
1124	Soil
1127	Rocks
1128	Log balance
1131	Mystic symbol
1135	Plank
1139	Soil
1141	Clothes model
1142	Clothes model
1143	Ladder
1144	Shelves
1145	Drawers
1146	Closed bank booth
1147	Bed
1148	Counter
1149	Bath screen
1150	Shelves
1152	Altar
1153	Bank booth
1154	Drawers
1155	Drawers
1156	Drawers
1157	Table
1160	Axe cabinet
1161	Barstool
1162	Chair
1163	Chair
1164	Statue
1165	Statue
1166	Statue
1167	Drawers
1168	Stepladder
1169	Strange machine
1170	Chair
1171	Strange machine
1172	Strange machine
1173	Trapdoor
1174	Telescope
1175	Trapdoor
1176	Stairs
1177	Shelves
1178	Shelves
1179	Potter's Wheel
1182	Sink
1183	Ladder
1184	Pottery Oven
1185	Hat stand
1186	Stool
1187	Cabinet
1188	Rocking chair
1189	Bathroom table
1190	Crystal ball
1191	Rack
1192	Furnace
1194	Bed
1195	Table
1196	Bed
1197	Table
1198	Bed
1199	Table
1200	Table
1201	Chandelier
1202	Bookcase
1203	Stairs
1205	Trapdoor
1206	Dresser
1207	Table
1208	Ladder
1210	Table
1211	Stairs
1212	Table
1213	Table
1214	Suit of armour
1215	Ladder
1216	Chaos altar
1218	Broom
1219	Range
1220	Bed
1221	Table
1222	Staircase
1223	Trapdoor
1224	Table
1225	Shelves
1226	Chest
1227	Counter
1229	Bank table
1231	Ladder
1232	Sword cabinet
1233	Pew
1234	Throne
1235	Barrel
1236	Drawers
1237	Stairs
1238	Stocks
1239	Bed
1242	Smashed chair
1243	Bow cabinet
1244	Trapdoor
1245	Bookcase
1248	Table
1249	Chest
1250	Table
1251	Anvil
1252	Chemistry Table
1253	Chemistry Table
1255	Staircase
1256	Bed
1257	Staircase
1258	Stool
1259	Trapdoor
1260	Kebab
1261	Stool
1262	Bank table
1263	Bookcase
1264	Bath pipes
1265	Bar pumps
1266	Bell
1267	Bell mechanism
1268	Staircase
1269	Bar pumps
1270	Bank booth
1271	Cooking shelves
1272	Chandelier
1273	Chair
1274	Cabinet
1275	Bookcase
1276	Table
1277	Bed
1279	Table
1280	Bell rope
1281	Furnace
1283	Staircase
1284	Bath
1285	Vat
1286	Dummy
1287	Stairs
1288	Bed
1289	Table
1291	Study desk
1292	Mangle
1293	Mangle
1294	Mirror
1295	Vat
1296	Tanning line
1297	Bench
1298	Gate
1301	Stool
1302	Gnome statue
1303	Gnome statue
1304	Gnome statue
1307	Table
1310	Pillar
1317	Gnome goal
1318	Gnome statue
1320	Gnome statue
1321	Gate
1323	Gnome glider
1324	Lamp
1325	Fence
1326	Fence
1327	Fence
1328	Throne
1329	Crashed glider
1333	Blurberry bar
1334	Wooden defence
1343	Mossy branch
1344	Mossy branch
1350	Tree Door
1362	Coffin
1363	Large grave stone
1364	Tombstone
1365	Coffin
1366	Grave marker
1367	Small gravestone
1368	Gravestone
1369	Gravestone
1370	Large grave
1372	Sails
1373	Flour bin
1379	Hopper
1381	Hopper controls
1382	Hopper controls
1383	Flour bin
1387	Track
1388	Rock
1389	Buffers
1390	Well stacked rocks
1391	Rock pile
1394	Track
1395	Track
1398	Mine cart
1399	Brick
1400	Statue of Zamorak
1402	Signpost
1403	Signpost
1404	Pillar
1405	Boulder
1406	Boulder
1407	Stones
1409	Stones
1410	Well
1411	Mud pile
1412	Tower
1413	Standard
1416	Henge
1417	Tea stall
1418	Brick
1419	Timber defence
1420	Shell
1421	Silver stall
1422	Henge
1426	Shell
1427	Standard
1428	Compost heap
1429	Statue of a warrior
1430	Standard
1431	Standard
1432	Full fishing net
1433	Climbing rope
1434	Rock
1435	Water Pool
1437	Shell
1438	Hammock
1439	Obstacle net
1440	Brick
1441	Statue of Saradomin
1443	Scarecrow
1445	Bakery stall
1449	Signpost
1450	Brick
1451	Target
1452	Statue steps
1453	Picnic bench
1454	Hay bales
1455	Haystack
1456	Fur stall
1457	Barrel
1458	Standard
1459	Hay bales
1460	Barrel
1461	Log raft
1462	Shell
1463	Eggs
1464	Hole
1465	Sand
1466	Brick
1467	Statue of a warrior
1468	Log pile
1469	Tribal statue
1470	Altar of Guthix
1471	Standard
1473	Waterfall rocks
1474	Monkey bars
1475	Obstacle pipe
1476	Large sewer pipe
1477	Ladder
1478	Brick
1479	Cart
1480	Cart
1482	Sacks
1484	Spice stall
1485	Silk stall
1487	Rope
1488	Statue of Saradomin
1490	Standard
1491	Fishing spot
1492	Brick
1493	Silver stall
1494	Climbing rocks
1495	Barrel
1496	Bench
1497	Fountain
1498	Gallows
1499	Standard
1500	Broken cart
1501	Hay bale
1502	Ice Throne
1503	Dwarf statue
1505	Beehive
1507	Manhole
1508	Cannon
1509	Gate
1510	Scaffold
1511	Gate
1514	Standard
1517	Rock
1518	Rock
1520	Plough
1521	Broken ladder
1522	Monkey bars
1523	Statue of a queen
1524	Gem stall
1525	Well
1527	Statue of a king
1528	Timber defence
1531	Ice Light
1535	Mud patch
1536	Standard
1537	Stone stand
1538	Standard
1539	Standard
1540	Bar pumps
1543	Manhole
1544	Broken cart wheel
1550	Cannonballs
1551	Timber defence
1552	Danger sign
1553	Gate
1554	Broken log raft
1555	Chair
1556	Throne
1557	Table
1558	Chair
1559	Suit of armour
1560	Candlestick holder
1561	Vine
1562	Tropical tree
1563	Tropical tree
1564	Tropical tree
1565	Bush
1566	Bush
1568	Rosebush
1569	Flowerbed
1570	Tree
1571	Oak tree
1573	Tree stump
1575	Palm
1576	Tree
1577	Sunflower
1579	Mushroom
1580	Cactus
1581	Orchid
1582	Pineapple Plant
1583	Hollow tree
1584	Tropical tree
1585	Vine
1586	Wheat
1587	Vine
1588	Rope
1589	Hedge
1590	Potted fern
